,snapshot,altitude (ft),heading,latitude,longitude,radar_id,ground speed (kts),squawk,date,flight_radar_flight_id,CAS (kts),TAS (kts),x (m),y (m),Distance (m),Distance (ft),ROC (ft/min)
80,1574799652,24800,161,47.92762,2.59313,677,394,1000,2019-11-26T00:00:00.000Z,586933868,268.646253105429,400.996957657115,15970.222780477,-88464.0321063535,103106.335741529,338275.379729427,31.5573770491803
81,1574799716,26425,161,47.81683,2.64721,677,405,1000,2019-11-26T00:00:00.000Z,586933868,268.155543366304,411.996957657115,20055.2643289301,-100771.246841112,116073.798831125,380819.549970884,25.390625
82,1574799783,27625,162,47.69421,2.70628,750,421,1000,2019-11-26T00:00:00.000Z,586933868,272.662255797663,428.063580742871,24537.9743398277,-114389.308868838,130410.684909797,427856.577788047,17.910447761194
83,1574799848,29275,163,47.57643,2.75743,750,420,1000,2019-11-26T00:00:00.000Z,586933868,264.01309556801,427.128052193507,28443.1171232887,-127468.517750816,144060.441139767,472639.242584539,25.3846153846154
84,1574799896,30400,163,47.48575,2.7975,750,421,1000,2019-11-26T00:00:00.000Z,586933868,259.201145880464,428.128052193507,31513.6456378666,-137536.120391545,154585.875491397,507171.507517705,23.4375
85,1574799985,32400,163,47.32044,2.87025,9996,419,1000,2019-11-26T00:00:00.000Z,586933868,248.528445069909,426.128052193507,37115.98903943,-155885.043523239,173771.005975234,570114.849000111,22.4719101123596
86,1574800051,34075,163,47.19846,2.92367,9996,411,1000,2019-11-26T00:00:00.000Z,586933868,236.228451160246,418.128052193507,41252.575485761,-169420.856826983,187924.789540831,616551.146787505,25.3787878787879
87,1574800111,34950,163,47.08601,2.97222,1591,418,1000,2019-11-26T00:00:00.000Z,586933868,236.180437473885,425.128052193507,45029.9166406474,-181896.737339027,200959.968893307,659317.483245758,14.5833333333333
88,1574800175,35000,163,46.96783,3.02358,1591,425,1000,2019-11-26T00:00:00.000Z,586933868,239.837894411779,432.128052193507,49042.4892577989,-195005.223552579,214668.840102082,704294.094823103,0.78125
89,1574800237,35000,163,46.84938,3.07473,1591,426,1000,2019-11-26T00:00:00.000Z,586933868,240.392910206737,433.128052193507,53057.0178106505,-208140.846104526,228404.233046184,749357.719967796,0
